timestamp,steering,speed,throttle
1745558035.0250633,-0.25,9.15,0.09
1745558035.8062134,-0.25,9.15,0.09
1745558036.6387682,-0.25,9.15,0.09
1745558037.372622,-0.25,9.15,0.09
1745558038.2355473,-0.25,9.15,0.09
1745558038.9557269,-0.25,9.15,0.09
1745558039.7262204,-0.25,9.15,0.09
1745558040.506494,-0.25,9.15,0.09
1745558041.2720728,-0.25,9.15,0.09
1745558042.0542715,-0.25,9.15,0.09
1745558042.8229227,-0.25,9.15,0.09
1745558043.619798,-0.25,9.15,0.09
1745558044.4025502,-0.25,9.15,0.09
1745558045.213562,-0.25,9.15,0.09
1745558045.9814005,-0.25,9.15,0.09
1745558046.7959468,-0.25,9.15,0.09
1745558047.5780847,-0.25,9.15,0.09
1745558048.366662,-0.25,9.15,0.09
1745558049.1436312,-0.25,9.15,0.09
1745558049.935254,-0.25,9.15,0.09
1745558050.730067,-0.25,9.15,0.09
1745558051.6354988,-0.25,9.15,0.09
1745558052.40547,-0.25,9.15,0.09
1745558053.2666175,-0.25,9.15,0.09
1745558054.0307648,-0.25,9.15,0.09
1745558054.8099096,-0.25,9.15,0.09
1745558055.5558453,-0.25,9.15,0.09
1745558056.318782,-0.25,9.15,0.09
1745558057.0995069,-0.25,9.15,0.09
1745558057.8634386,-0.25,9.15,0.09
1745558059.6099503,-0.25,9.15,0.09
1745558060.9485295,-0.25,9.15,0.09
1745558062.0011554,-0.25,9.15,0.09
1745558062.9555259,-0.25,9.15,0.09
1745558063.8649652,-0.25,9.15,0.09
1745558064.8730834,-0.25,9.15,0.09
1745558065.857913,-0.25,9.15,0.09
1745558066.8280966,-0.25,9.15,0.09
1745558067.607443,-0.25,9.15,0.09
1745558068.3718262,-0.25,9.15,0.09
1745558069.1354055,-0.25,9.15,0.09
1745558069.8984852,-0.25,9.15,0.09
1745558070.723852,-0.25,9.15,0.09
1745558071.4963057,-0.25,9.15,0.09
1745558072.2570853,-0.25,9.15,0.09
1745558073.0389876,-0.25,9.15,0.09
1745558073.8430533,-0.25,9.15,0.09
1745558074.6439652,-0.25,9.15,0.09
1745558075.4326077,-0.25,9.15,0.09
1745558076.2073872,-0.25,9.15,0.09
1745558076.9890099,-0.25,9.15,0.09
1745558077.7627861,-0.25,9.15,0.09
1745558078.5235164,-0.25,9.15,0.09
1745558079.3036995,-0.25,9.15,0.09
1745558080.0855074,-0.25,9.15,0.09
1745558080.8969045,-0.25,9.15,0.09
1745558081.6842914,-0.25,9.15,0.09
1745558082.5831535,-0.25,9.15,0.09
1745558083.3861253,-0.25,9.15,0.09
1745558084.1999545,-0.25,9.15,0.09
1745558084.9694016,-0.25,9.15,0.09
1745558085.7562912,-0.25,9.15,0.09
1745558086.5333626,-0.25,9.15,0.09
1745558087.3416636,-0.25,9.15,0.09
1745558088.0854783,-0.25,9.15,0.09
1745558088.908954,-0.25,9.15,0.09
1745558089.698615,-0.25,9.15,0.09
1745558090.4761133,-0.25,9.15,0.09
1745558091.2585173,-0.25,9.15,0.09
1745558092.0431733,-0.25,9.15,0.09
1745558092.8291228,-0.25,9.15,0.09
1745558093.6290774,-0.25,9.15,0.09
1745558094.406409,-0.25,9.15,0.09
