timestamp,gradcam_latency
1754587398.3233132,0.009935
1754587398.3534846,0.010700
1754587398.3907337,0.008014
1754587398.4390717,0.018764
1754587398.4691353,0.007546
1754587398.5064156,0.010528
1754587398.542498,0.010524
1754587398.5839927,0.011512
1754587398.6217334,0.015143
1754587398.667823,0.012334
1754587398.7071779,0.012453
1754587398.748957,0.012959
1754587398.791736,0.012492
1754587398.8286188,0.011018
1754587398.8734632,0.014391
1754587398.9222674,0.015032
1754587398.9641633,0.016491
1754587399.0007157,0.011105
1754587399.0367525,0.010130
1754587399.070501,0.011276
1754587399.1088398,0.010112
1754587399.143518,0.013045
1754587399.3358524,0.102025
1754587399.4727075,0.074372
1754587399.6638548,0.025894
1754587399.7213311,0.021885
1754587399.7592015,0.013519
1754587399.801837,0.021091
1754587399.8375924,0.012998
1754587399.8713388,0.011509
1754587399.9075775,0.009090
1754587399.939543,0.010515
1754587399.9733484,0.011703
1754587400.0052722,0.009727
1754587400.0363154,0.010516
1754587400.0717144,0.010011
1754587400.1036923,0.012224
1754587400.1581564,0.020581
1754587400.2103796,0.026076
1754587400.2991428,0.053571
1754587400.4023626,0.021742
1754587400.474423,0.012083
1754587400.512469,0.015568
1754587400.5503428,0.011523
1754587400.5885057,0.010886
1754587400.6225889,0.010784
1754587400.674412,0.015148
1754587400.7118053,0.013618
1754587400.748548,0.012160
1754587400.7890818,0.010715
1754587400.823854,0.012196
1754587400.8708904,0.010524
1754587400.9179103,0.019811
1754587400.9541814,0.012523
1754587400.995944,0.011042
1754587401.0609221,0.031822
1754587401.1088316,0.018354
1754587401.1506276,0.018688
1754587401.3688567,0.084390
1754587401.698428,0.234529
1754587401.7962193,0.033940
1754587401.8668513,0.014831
1754587401.9016287,0.012058
1754587401.9397073,0.012516
1754587401.9856834,0.019920
1754587402.021422,0.011914
1754587402.060825,0.013354
1754587402.0946503,0.011513
1754587402.1404681,0.016087
1754587402.1919324,0.014507
1754587402.267988,0.019548
1754587402.3317316,0.018061
1754587402.4080825,0.029161
1754587402.4680426,0.014326
1754587402.511702,0.012904
1754587402.5672047,0.022499
1754587402.6040208,0.011533
1754587402.6378357,0.014218
1754587402.6721635,0.010294
1754587402.7085469,0.016334
1754587402.7487822,0.014976
1754587402.81135,0.017788
1754587402.89077,0.032510
1754587402.9541414,0.014333
1754587403.0183773,0.018245
1754587403.057635,0.012867
1754587403.1194413,0.020283
1754587403.1785245,0.017837
1754587403.2303731,0.017945
1754587403.4444673,0.047500
1754587403.6765795,0.103957
1754587403.7588472,0.025416
1754587403.8077812,0.012205
1754587403.8421605,0.010339
1754587403.8816638,0.016381
1754587403.9246213,0.015452
1754587403.961447,0.012838
1754587404.003274,0.014051
1754587404.0525885,0.017039
1754587404.0988045,0.017411
1754587404.1365693,0.012828
1754587404.1758718,0.015179
1754587404.2218404,0.012289
1754587404.266587,0.017011
1754587404.30262,0.011044
1754587404.3444943,0.012749
1754587404.3980908,0.026821
1754587404.4558618,0.014065
1754587404.5105405,0.014446
1754587404.556369,0.020430
1754587404.593823,0.012225
1754587404.6495697,0.015773
1754587404.7061005,0.020971
1754587404.7488692,0.014869
1754587404.8008292,0.012032
1754587404.8438187,0.019026
1754587404.8786454,0.012831
1754587404.921888,0.012934
1754587404.9621837,0.013360
1754587405.0105546,0.013242
1754587405.0538507,0.011274
1754587405.0865839,0.012854
1754587405.138446,0.017951
1754587405.1764274,0.009838
1754587405.2125354,0.011109
1754587405.3916056,0.055613
1754587405.6266382,0.120082
1754587405.7064023,0.018842
1754587405.7636693,0.016829
1754587405.8082848,0.013585
1754587405.8553069,0.017419
1754587405.8998923,0.011821
1754587405.942455,0.016745
1754587405.9796355,0.012382
1754587406.014358,0.010834
1754587406.0560133,0.014629
1754587406.0954156,0.013395
1754587406.1327436,0.009911
1754587406.1643753,0.010068
1754587406.2019973,0.012814
1754587406.2360518,0.009517
1754587406.2750452,0.011569
1754587406.3183575,0.020118
1754587406.3570693,0.014550
1754587406.4142377,0.018974
1754587406.4597647,0.024582
1754587406.4966583,0.009518
1754587406.5418077,0.012319
1754587406.572452,0.011058
1754587406.6156297,0.011761
1754587406.6505795,0.012061
1754587406.6927946,0.011224
1754587406.7289615,0.014518
1754587406.7595134,0.010519
1754587406.793769,0.013761
1754587406.8244257,0.010553
1754587406.862433,0.013316
1754587406.8950205,0.012328
1754587406.933938,0.010516
1754587406.972965,0.011353
1754587407.0179067,0.013750
1754587407.065651,0.014272
1754587407.1103392,0.014826
1754587407.1438282,0.010260
1754587407.1810899,0.010542
1754587407.2154422,0.010397
1754587407.3765535,0.050806
1754587407.6031535,0.107718
1754587407.6844656,0.027613
1754587407.7240226,0.014992
1754587407.7583241,0.012530
1754587407.7909987,0.011521
1754587407.8282058,0.012141
1754587407.867257,0.014787
1754587407.9029276,0.012729
1754587407.9363694,0.012516
1754587407.9717555,0.010145
1754587408.0081358,0.012416
1754587408.047596,0.009084
1754587408.0794554,0.010876
1754587408.1158702,0.010801
1754587408.1471252,0.009534
1754587408.1852648,0.012520
1754587408.21428,0.009515
1754587408.2531588,0.010507
1754587408.2820535,0.010338
1754587408.3163319,0.009515
1754587408.3486223,0.010532
1754587408.383397,0.010035
1754587408.440741,0.028141
1754587408.4807353,0.013135
1754587408.5328643,0.015978
1754587408.5910327,0.035949
1754587408.6568735,0.030216
1754587408.7013965,0.010940
1754587408.7443607,0.012996
1754587408.7787416,0.011057
1754587408.823569,0.013158
1754587408.872666,0.018108
1754587408.9364564,0.034896
1754587408.9775643,0.014039
1754587409.0291739,0.015268
1754587409.075399,0.011955
1754587409.118302,0.014954
1754587409.156804,0.011103
1754587409.200505,0.011887
1754587409.247118,0.020645
1754587409.4529033,0.051252
1754587409.7160122,0.044364
1754587409.804188,0.043268
